###############################################################################
# EEPROM Parameters
###############################################################################
Omega_tst/4                              , 0x0007, q15, dec, 16, 6, spr, spr, spr

IQ_Ptr_Cmd                               , 0x000A, uint, hex, 16, 6, spr, spr, spr
IQ_Ptr_int                               , 0x0090, int, dec, 16, 6, spr, spr, spr
IQ_Ptr_frac                              , 0x008F, q15, dec, 16, 6, spr, spr, spr

INT_Ptr_Cmd                              , 0x000B, uint, hex, 16, 6, spr, spr, spr
INT_Ptr_Value                            , 0x00C7, int, dec, 16, 6, spr, spr, spr

Kp_Curr_Gain(x10000)                     , 0x000C, int, dec, 16, 6, spr, spr, spr
w1_Curr_Gain_(rads/s)                    , 0x000D, int, dec, 16, 6, spr, spr, spr
Kp_Flux_Weakening(x10000)                , 0x000E, int, dec, 16, 6, spr, spr, spr
w1_Flux_Weakening_(rads/s)               , 0x000F, int, dec, 16, 6, spr, spr, spr

Gamma_Adjust_(Deg)(x10)                  , 0x0010, int, dec, 16, 6, 0x000C, spr, spr
Theta_Cmd_Offset_(Deg)(x10)              , 0x0011, int, dec, 16, 6, spr, spr, spr
Outputs_Command                          , 0x0012, int, hex, 16, 6, spr, spr, spr

Exc_FIlter_Command_(BITS_2_1_0)          , 0x0013, int, dec, 16, 6, spr, spr, spr
EXC_Filter_1_Output_Status               , 0x00CF, uint, dec, 16, 6, spr, spr, spr
EXC_Filter_2_Output_Status               , 0x00D0, uint, dec, 16, 6, spr, spr, spr
EXC_Filter_3_Output_Status               , 0x00D1, uint, dec, 16, 6, spr, spr, spr

RTD_Select_Command_(BITS_1_0)            , 0x0014, int, dec, 16, 6, spr, spr, spr
